"user_id","product_id","quantity","created_at","updated_at"
"eb4a0c6d-bf06-48f1-8e9d-01330f67285f","99bcbc11-0ba5-4e69-bfff-f343ccc39823","1","2026-06-15 06:59:00.797983+00","2026-06-15 06:59:00.797983+00"
"eb4a0c6d-bf06-48f1-8e9d-01330f67285f","c2daaab0-500d-4c58-8bbd-abd9ee46a98e","2","2026-06-15 06:59:00.538267+00","2026-06-15 07:00:58.330172+00"
